City,Hemisphere,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Port Keats,southern,-14.25,129.55,66.33,48,11,8.57
Abu Samrah,northern,35.3029,37.1841,84.83,33,0,9.95
Saldanha,southern,-33.0117,17.9442,51.85,88,100,8.7
Gouré,northern,13.9835,10.2704,87.1,41,16,11.99
Hay River,northern,60.8156,-115.7999,67.98,60,75,8.05
Jardim,southern,-21.4803,-56.1381,46.44,77,100,8.57
Vaini,southern,-21.2,-175.2,73.56,78,75,6.91
Urengoy,northern,65.9667,78.3667,47.28,55,90,12.68
Jamestown,northern,42.097,-79.2353,85.1,76,6,10.67
Kasungu,southern,-13.0333,33.4833,59.07,57,8,3.15
Yellowknife,northern,62.456,-114.3525,73.85,43,20,5.99
Kapaa,northern,22.0752,-159.319,80.08,77,28,1.99
Lebu,southern,-37.6167,-73.65,51.67,48,6,2.84
Punta Arenas,southern,-53.15,-70.9167,48.31,61,20,13.8
Puerto Ayora,southern,-0.7393,-90.3518,74.55,88,76,5.99
Igarka,northern,67.4667,86.5833,45.7,97,100,7
Broome,northern,42.2506,-75.833,90.93,57,28,3
East London,southern,-33.0153,27.9116,59.94,77,0,17.27
Hobart,southern,-42.8794,147.3294,38.61,96,40,1.01
Rikitea,southern,-23.1203,-134.9692,74.7,73,100,8.57
Mataura,southern,-46.1927,168.8643,42.48,80,39,6.58
Bremerton,northern,47.5673,-122.6326,98.91,47,0,4
Auki,southern,-8.7676,160.7034,74.8,89,64,5.17
Port Elizabeth,southern,-33.918,25.5701,59.29,82,75,19.57
Avarua,southern,-21.2078,-159.775,71.65,64,75,8.05
Alugan,northern,12.2188,125.4808,77.61,91,23,4.81
Henties Bay,southern,-22.116,14.2845,58.86,76,5,3.91
Torbay,northern,47.6666,-52.7314,60.28,97,90,16.11
New Norfolk,southern,-42.7826,147.0587,38.62,89,4,2.66
Pisco,southern,-13.7,-76.2167,62.65,94,90,4.61
Parit Raja,northern,1.8681,103.1124,77.31,84,18,2.3
Kampot,northern,10.6167,104.1833,82.45,87,77,6.06
Bathsheba,northern,13.2167,-59.5167,88.41,55,20,25.32
Tsimmerbude,northern,54.675,20.1347,68.05,87,0,4.38
Bengkulu,southern,-3.8004,102.2655,74.43,92,100,4.43
Qaanaaq,northern,77.484,-69.3632,38.08,82,98,5.41
Bredasdorp,southern,-34.5322,20.0403,49.32,87,100,4.61
Belozërskoye,northern,55.8214,65.5842,64.36,69,97,5.7
Saskylakh,northern,71.9167,114.0833,40.73,71,100,10.38
Busselton,southern,-33.65,115.3333,53.04,79,100,19.98
Tuktoyaktuk,northern,69.4541,-133.0374,68,52,75,16.11
Norfolk,northern,42.1668,-71.2495,92.82,57,100,3
Arraial do Cabo,southern,-22.9661,-42.0278,78.66,57,0,8.05
Aklavik,northern,68.2191,-135.0107,69.8,37,75,13.8
Isla Mujeres,northern,21.2311,-86.731,89.17,77,100,10.51
Saint-Philippe,southern,-21.3585,55.7679,69.31,85,36,11.99
Kaduna,northern,10.5222,7.4383,70.14,90,100,7.56
Nikolskoye,northern,59.7035,30.7861,66.67,98,100,7.43
Ribeira Grande,northern,38.5167,-28.7,70.2,88,20,13.8
Hilo,northern,19.7297,-155.09,77.76,69,24,1.99
Bandarbeyla,northern,9.4942,50.8122,77.49,82,5,30.58
Cidreira,southern,-30.1811,-50.2056,51.64,58,99,17.16
Hong Kong,northern,22.2855,114.1577,84.94,89,100,1.99
Bambous Virieux,southern,-20.3428,57.7575,73.65,73,40,11.5
Iqaluit,northern,63.7506,-68.5145,46.13,71,90,14.97
Ushuaia,southern,-54.8,-68.3,44.26,76,20,19.57
Tautira,southern,-17.7333,-149.15,82.42,72,31,16.82
Leningradskiy,northern,69.3833,178.4167,37.26,88,100,7.38
Taoudenni,northern,22.6783,-3.9836,109.94,6,0,5.23
Souillac,southern,-20.5167,57.5167,73.78,73,40,11.5
Vila Franca do Campo,northern,37.7167,-25.4333,72.01,78,7,6.73
Kupang,southern,-10.1667,123.5833,75.34,77,0,12.37
Baykit,northern,61.67,96.37,49.39,84,98,2.89
Clovis,northern,36.8252,-119.7029,94.98,40,0,1.01
Sorong,southern,-0.8833,131.25,76.98,87,94,4.32
Doha,northern,25.2867,51.5333,93.18,66,0,2.3
Lagoa,northern,39.05,-27.9833,69.19,86,4,15.41
Caruray,northern,10.3094,119.0128,78.91,84,51,3.18
Alamogordo,northern,32.8995,-105.9603,64.31,94,40,1.99
Ponta do Sol,northern,32.6667,-17.1,71.74,77,0,2.1
Provideniya,northern,64.3833,-173.3,47.17,86,100,7.16
Nara,northern,34.6851,135.8049,71.49,83,100,4.03
Hofn,northern,64.2539,-15.2082,51.82,82,20,8.05
Khatanga,northern,71.9667,102.5,43.61,80,100,16.42
Dhemāji,northern,27.4833,94.5833,75.16,96,100,6.62
Khani,northern,41.9563,42.9566,65.77,95,100,1.32
Saint George,northern,37.1041,-113.5841,97.12,16,78,1.01
Simpang,southern,-1.2667,104.0833,74.12,94,75,2.1
Clyde River,northern,70.4692,-68.5914,39.43,87,75,21.85
Goderich,northern,43.7501,-81.7165,68.41,88,19,5.75
Manggar,southern,-2.8833,108.2667,80.17,77,100,6.49
Upernavik,northern,72.7868,-56.1549,35.76,87,100,7.47
Coquimbo,southern,-29.9533,-71.3436,62.33,51,0,14.97
Cape Town,southern,-33.9258,18.4232,50.99,91,75,1.01
Thompson,northern,55.7435,-97.8558,78.96,41,75,10.36
Sasykoli,northern,47.5515,46.9968,83.7,47,92,8.39
Butaritari,northern,3.0707,172.7902,81.99,78,100,13.56
Oistins,northern,13.0667,-59.5333,87.89,55,20,25.32
Albany,northern,42.6001,-73.9662,90.46,63,100,8.37
Gimli,northern,50.6336,-96.9907,66.51,63,0,16.11
Shache,northern,38.4167,77.2406,83.3,22,100,18.34
Ust-Nera,northern,64.5667,143.2,71.65,44,5,5.48
Hikari,northern,33.955,131.95,71.56,93,2,4.18
Mormugao,northern,15.4,73.8,76.26,100,75,3.44
Luganville,southern,-15.5333,167.1667,75.29,87,1,2.86
Broken Hill,southern,-31.95,141.4333,46.11,87,0,14.97
Port Alfred,southern,-33.5906,26.891,59.14,80,30,15.21
San Vicente,southern,-26.6167,-54.1333,47.17,45,45,5.06
Kirakira,southern,-10.4544,161.9205,76.01,82,100,6.33
Mahébourg,southern,-20.4081,57.7,73.69,73,40,11.5
Bud,northern,39.447,-86.1758,87.75,66,60,6.82
Shetpe,northern,44.1667,52.1167,94.5,17,6,5.32
Manono,southern,-7.3,27.4167,74.95,35,96,5.53
Hobyo,northern,5.3505,48.5268,77.72,85,100,23.62
Berlevåg,northern,70.8578,29.0864,47.32,89,95,9.84
Gryazovets,northern,58.88,40.2525,68.99,94,52,6.22
Adrar,northern,20.5022,-10.0711,104.99,6,10,16.89
Dikson,northern,73.5069,80.5464,34.02,85,5,11.23
Airai,southern,-8.9266,125.4092,54.5,82,7,3.8
Quang Ngai,northern,15.1167,108.8,78.6,79,57,5.7
Mar del Plata,southern,-38.0023,-57.5575,48.63,69,90,20
Iskateley,northern,67.6803,53.1512,57.87,64,100,9.44
Rumonge,southern,-3.9736,29.4386,72.27,58,23,4.34
Kaifeng,northern,34.7911,114.3483,85.06,62,12,9.06
Tortolì,northern,39.9256,9.6572,76.93,69,2,1.14
Tazovsky,northern,67.4667,78.7,40.96,78,100,15.55
Sena Madureira,southern,-9.0656,-68.6569,77.68,90,100,5.1
Katsuura,northern,35.1333,140.3,69.85,97,100,18.66
Gull Lake,northern,50.1001,-108.4847,77.36,32,0,7.81
Fort-Shevchenko,northern,44.5086,50.263,87.57,39,89,6.76
Mezen',northern,65.8522,44.24,59.72,94,100,4.79
La Ronge,northern,55.1001,-105.2842,82.65,36,40,6.91
Gao,northern,16.6362,1.637,98.76,11,11,7.54
Bluff,southern,-46.6,168.3333,42.8,56,11,20.8
Kruisfontein,southern,-34.0033,24.7314,55.89,82,100,17.38
Tonshayevo,northern,57.736,47.0127,66.13,92,100,8.03
Beringovskiy,northern,63.05,179.3167,47.5,75,90,4.97
Wonthaggi,southern,-38.6044,145.5913,41.76,88,0,6.35
Hermanus,southern,-34.4187,19.2345,45.81,77,100,7.72
Mayumba,southern,-3.432,10.6554,72.7,90,77,7.31
Talnakh,northern,69.4865,88.3972,48.74,88,100,4.25
Sinnamary,northern,5.3833,-52.95,80.13,82,97,6.17
Albert Lea,northern,43.648,-93.3683,81.39,61,40,8.05
Meulaboh,northern,4.1363,96.1285,76.23,87,100,3.53
Salalah,northern,17.0151,54.0924,80.37,84,100,2.57
Tasiilaq,northern,65.6145,-37.6368,38.35,94,100,17.4
Terra Santa,southern,-2.1042,-56.4869,85.26,61,89,2.42
Baker City,northern,44.7749,-117.8344,91.78,41,0,8.41
Portland,northern,45.5234,-122.6762,108.21,23,0,1.01
Apac,northern,1.9756,32.5386,67.19,78,50,5.37
Preobrazheniye,northern,42.9019,133.9064,58.71,98,95,5.3
Champerico,northern,14.3,-91.9167,89.85,70,96,5.93
Klaksvík,northern,62.2266,-6.589,49.12,96,68,12.8
Baculin,northern,7.4525,126.5842,77.61,84,11,4.68
Constitución,southern,-35.3333,-72.4167,56.77,42,9,3.91
Maceió,southern,-9.6658,-35.7353,80.04,65,40,12.66
Vardø,northern,70.3705,31.1107,48.18,81,0,4.61
Shelburne,northern,44.0787,-80.2041,77.83,55,1,10.87
Shīeli,northern,44.1667,66.75,84.87,19,4,7.16
Hithadhoo,southern,-0.6,73.0833,82.6,72,100,7.2
Makakilo City,northern,21.3469,-158.0858,79.18,58,40,5.75
Dukat,northern,62.55,155.55,59.32,60,94,6.08
Departamento de Maldonado,southern,-34.6667,-54.9167,45.79,93,100,27.27
Chiredzi,southern,-21.05,31.6667,65.66,37,1,4.85
Bilma,northern,18.6853,12.9164,97,10,7,5.48
São João da Barra,southern,-21.6403,-41.0511,73.54,77,3,14.25
Novikovo,northern,51.1537,37.8879,65.61,95,0,7.25
Kobryn,northern,52.2138,24.3564,63.59,78,91,5.35
Nuevo Laredo,northern,27.4763,-99.5164,88.14,62,90,9.22
Puerto Gaitán,northern,4.3133,-72.0816,83.48,70,100,8.66
Samarinda,southern,-0.5,117.15,73.67,92,99,0.13
Lorengau,southern,-2.0226,147.2712,81.07,79,93,5.66
George Town,northern,5.4112,100.3354,79.9,87,20,4.61
Lac du Bonnet,northern,50.2536,-96.0612,72.59,30,0,8.3
Tevaitoa,southern,-16.7833,-151.5,80.55,69,98,16.89
Half Moon Bay,northern,37.4636,-122.4286,69.66,68,39,1.01
Port Hawkesbury,northern,45.6169,-61.3485,73.71,81,99,5.99
Matagami,northern,49.7502,-77.6328,65.84,67,100,4
Matamoros,northern,25.5333,-103.25,87.12,36,100,11.72
Strezhevoy,northern,60.7333,77.5889,58.98,79,100,3.22
San Patricio,northern,28.017,-97.5169,85.01,54,91,6.11
Nālūt,northern,30.3333,10.85,98.29,10,36,9.8
Kusa,northern,55.3383,59.4406,63.5,82,10,4.09
Pangnirtung,northern,66.1451,-65.7125,42.57,75,98,3.29
São Filipe,northern,14.8961,-24.4956,75.85,80,23,10.4
Ancud,southern,-41.8697,-73.8203,47.68,68,68,7.65
Kloulklubed,northern,7.0419,134.2556,84.06,71,100,7.36
Esperance,southern,-33.8667,121.9,55.4,76,2,16.15
Barrow,northern,71.2906,-156.7887,33.82,80,90,10.36
Ust-Maya,northern,60.4167,134.5333,61.12,70,0,1.74
Kingaroy,southern,-26.5333,151.8333,44.64,100,17,0
Kahului,northern,20.8947,-156.47,80.82,65,11,11.99
Lima,southern,-12.0432,-77.0282,68.05,75,90,5.75
Cururupu,southern,-1.8283,-44.8683,80.38,75,82,3.89
Longonjo,southern,-12.9067,15.2533,62.56,25,84,3.49
Chui,southern,-33.6971,-53.4616,45.01,83,100,22.19
Rundu,southern,-17.9333,19.7667,60.58,29,5,4.74
Ongandjera,southern,-17.8833,15.0667,68.27,23,4,6.15
Hibbing,northern,47.4272,-92.9377,76.59,66,100,4.21
Castro,southern,-24.7911,-50.0119,45.63,91,100,9.57
Umluj,northern,25.0213,37.2685,88.48,48,0,8.77
Srednekolymsk,northern,67.45,153.6833,77.16,35,6,9.28
Ambilobe,southern,-13.2,49.05,70.11,81,41,4.25
Neyshabur,northern,36.2133,58.7958,81.09,20,2,3
Nome,northern,64.5011,-165.4064,49.15,84,73,9.53
Guerrero Negro,northern,27.9769,-114.0611,75.29,56,9,12.06
Grand Gaube,southern,-20.0064,57.6608,73.38,73,0,5.99
Carnarvon,southern,-24.8667,113.6333,66.29,64,0,7.11
Kaoma,southern,-14.7833,24.8,58.46,37,65,4.97
Tazmalt,northern,36.3868,4.3989,86.09,41,100,9.01
Vänersborg,northern,58.3807,12.3234,62.22,75,80,12.66
Monor,northern,47.3513,19.4473,84.2,45,0,4.61
Issoire,northern,45.55,3.25,69.06,90,77,3.8
Sur,northern,22.5667,59.5289,86.54,57,0,14.52
Boyolangu,southern,-8.1181,111.8935,74.41,89,72,1.7
Cabedelo,southern,-6.9811,-34.8339,78.33,70,45,16.31
Vestmannaeyjar,northern,63.4427,-20.2734,49.19,93,20,13.8
San Jose,northern,37.3394,-121.895,77.54,57,1,1.99
Sitka,northern,57.0531,-135.33,73.78,54,0,5.88
Chapais,northern,49.7834,-74.8492,77.29,28,8,4.47
Ilulissat,northern,69.2167,-51.1,39.22,93,75,12.66
Naze,northern,28.3667,129.4833,75.65,93,100,16.4
Amarpur,northern,25.0333,86.9,88.2,66,100,3.74
Ulaanbaatar,northern,47.9077,106.8832,55.53,88,75,11.18
Zyryanka,northern,65.75,150.85,73.67,37,6,11.07
Rawson,southern,-43.3002,-65.1023,51.93,26,7,9.6
Grand Forks,northern,47.9417,-97.4337,74.91,68,36,7.65
Staryy Nadym,northern,65.6118,72.6842,44.78,70,41,5.82
Jackson,northern,42.4165,-122.8345,102.67,25,0,5.01
Arlit,northern,18.7369,7.3853,97.5,12,27,7.34
Faanui,southern,-16.4833,-151.75,80.74,68,100,16.98
Rocha,southern,-34.4833,-54.3333,42.78,94,100,24.85
Batagay-Alyta,northern,67.8006,130.4114,60.85,78,100,1.45
Longyearbyen,northern,78.2186,15.6401,41.07,75,100,7.63
Vallenar,southern,-28.5708,-70.7581,76.95,4,0,3.04
Xichang,northern,27.8964,102.2634,65.82,93,83,0.87
Atuona,southern,-9.8,-139.0333,79.34,67,0,22.01
Hokitika,southern,-42.7167,170.9667,37.89,67,2,5.64
Grindavik,northern,63.8424,-22.4338,48.67,87,75,11.5
Aykhal,northern,66,111.5,55.94,52,100,5.73
Malibu,northern,34.005,-118.8101,81.99,71,23,10.16
Ghanzi,southern,-21.5667,21.7833,61.74,28,0,8.39
Nanortalik,northern,60.1432,-45.2371,41.32,98,100,6.58
Iraan,northern,30.914,-101.8979,85.14,41,88,5.01
Geraldton,southern,-28.7667,114.6,57.61,88,90,9.22
Faya,northern,18.3851,42.4509,72.16,54,68,1.14
Marsá Maţrūḩ,northern,31.3525,27.2453,80.8,74,0,11.5
Nouadhibou,northern,20.931,-17.0347,68.94,78,5,26.35
Ballina,southern,-28.8667,153.5667,53.98,99,48,6.67
Ayan,northern,56.45,138.1667,51.67,94,84,3.91
Yeppoon,southern,-23.1333,150.7333,58.78,85,91,17.29
La Santisima Trinidad,southern,-14.8333,-64.9,48.85,81,100,9.86
Fortuna,northern,40.5982,-124.1573,68.95,74,20,3
Hue,northern,16.4667,107.6,84.31,61,20,4.61
Belyy Yar,northern,53.6039,91.3903,58.89,88,0,4.47
Saint-Augustin,northern,51.226,-58.6502,63.99,59,97,4.05
Baisha,northern,26.5222,110.9311,76.46,99,100,3.04
Malatya Province,northern,38.5,38,80.65,45,40,13.8
Itapirapuã,southern,-15.8233,-50.6133,89.53,19,0,5.64
Abu Dhabi,northern,24.4667,54.3667,92.82,56,0,11.5
Paka,northern,4.6374,103.4368,77.97,85,100,2.42
Byron Bay,southern,-28.65,153.6167,54.72,85,55,7.45
Sistranda,northern,63.7256,8.834,53.56,88,100,11.18
Fox Lake,northern,42.3967,-88.1837,76.53,83,100,1.01
Cabo San Lucas,northern,22.8909,-109.9124,88.18,69,12,7.74
Gdańsk,northern,54.3521,18.6464,66.76,77,0,5.75
Marawi,northern,7.9986,124.2928,69.66,94,45,2.37
Saint Paul Harbor,northern,57.79,-152.4072,50.52,88,95,1.3
Hasaki,northern,35.7333,140.8333,68.23,96,100,15.93
Olden,northern,61.8364,6.8064,60.24,58,13,6.29
Abohar,northern,30.15,74.1833,97.45,27,0,4.85
Puerto Maldonado,southern,-12.6,-69.1833,57.6,94,90,8.05
Qingdao,northern,36.0986,120.3719,71.55,88,14,6.8
Anadyr,northern,64.75,177.4833,41.56,91,86,12.03
The Hammocks,northern,25.6715,-80.4445,81.03,83,20,3.44
Seoul,northern,37.5683,126.9778,69.4,87,17,1.79
Codrington,southern,-38.2667,141.9667,42.6,87,100,8.93
Labuhan,southern,-6.8844,112.2051,77.95,86,99,6.76
Severo-Kuril'sk,northern,50.6789,156.125,46.58,91,96,8.77
Cayenne,northern,4.9333,-52.3333,84.09,74,75,3
Koungheul,northern,13.9833,-14.8,96.6,36,9,7.02
Barra de Tecoanapa,northern,16.5167,-98.75,78.04,77,100,6.71
Río Gallegos,southern,-51.6226,-69.2181,43.75,75,100,7.16
Chāībāsa,northern,22.5667,85.8167,82.96,77,100,7.76
Sirte,northern,31.2089,16.5887,83.8,54,0,11.3
Lehututu,southern,-23.9667,21.8667,63.21,25,0,11.9
Aksarka,northern,66.5606,67.7975,44.42,65,6,4.94
Estelle,northern,29.8458,-90.1067,81.84,73,75,4.61
Chokurdakh,northern,70.6333,147.9167,44.47,75,100,13.33
Siguiri,northern,11.6667,-9.5,93.33,32,24,6.93
Hīt,northern,33.6416,42.8251,100.42,10,0,10.65
Rivière-du-Loup,northern,47.8304,-69.5342,71.78,61,35,1.43
Yaqui,northern,27.3667,-110.1667,99.32,32,0,14.58
Garissa,southern,-0.4536,39.6401,77.88,62,35,19.73
Progreso,northern,21.2833,-89.6667,92.1,60,100,10.6
Mossamedes,southern,-15.1961,12.1522,67.01,84,58,5.35
Sfântu Gheorghe,northern,45.8667,25.7833,67.26,85,1,2.95
Collie,southern,-33.3667,116.15,49.98,93,95,12.19
Marakkanam,northern,12.2,79.95,83.73,78,64,13.15
Tuatapere,southern,-46.1333,167.6833,41.83,70,96,10.18
Kiryat Gat,northern,31.61,34.7642,82.2,61,0,4.56
Zhangaözen,northern,43.3,52.8,93.31,19,1,5.06
Jizan,northern,17.3333,42.6667,91.04,45,55,2.17
Namatanai,southern,-3.6667,152.4333,79.5,81,98,8.37
Umm Kaddadah,northern,13.6017,26.6876,95.95,23,41,8.55
Chunskiy,northern,56.0815,99.6342,49.87,96,14,2.19
Jiamusi,northern,46.8333,130.35,64.54,86,90,4.92
Mehamn,northern,71.0357,27.8492,50.18,88,100,13.8
Roald,northern,62.5833,6.1333,53.69,82,75,8.05
Mocuba,southern,-16.8392,36.9856,63.45,92,11,2.91
Barra Patuca,northern,15.8,-84.2833,85.8,64,41,12.21
Ichihara,northern,35.5167,140.0833,68.27,97,100,13.18
Kintampo,northern,8.0563,-1.7306,82.65,57,100,5.23
Ambon City,southern,-3.6954,128.1814,78.31,86,57,9.31
Mayo,northern,38.8876,-76.5119,90.16,69,23,4
The Valley,northern,18.217,-63.0578,86.07,70,20,17.27
Kasongo-Lunda,southern,-6.4667,16.8167,74.66,28,99,3
Haines Junction,northern,60.7522,-137.5108,70.77,44,100,4.18
Port Lincoln,southern,-34.7333,135.8667,51.44,57,100,14.07
Ahipara,southern,-35.1667,173.1667,55.22,70,100,17
Doctor Arroyo,northern,23.6667,-100.1833,76.17,47,100,7.96
