City,Hemisphere,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Ribeira Grande,northern,38.5167,-28.7,70.2,78,20,8.05
Waingapu,southern,-9.6567,120.2641,75.97,84,21,5.28
Hobart,southern,-42.8794,147.3294,43.74,90,75,5.75
Rikitea,southern,-23.1203,-134.9692,74.19,75,10,3.83
Gizo Government Station,southern,-8.103,156.8419,80.26,77,89,7.76
Sydney,southern,-33.8679,151.2073,49.35,81,0,8.01
Avarua,southern,-21.2078,-159.775,75.25,94,75,14.97
Ushuaia,southern,-54.8,-68.3,38.86,87,75,23.02
Maricá,southern,-22.9194,-42.8186,76.89,79,6,7.65
Mataura,southern,-46.1927,168.8643,45.48,98,80,1.88
Cape Town,southern,-33.9258,18.4232,58.87,78,75,7
Kirakira,southern,-10.4544,161.9205,79.66,84,58,9.98
Raudeberg,northern,61.9875,5.1352,51.57,88,68,19.86
Kapaa,northern,22.0752,-159.319,82.31,73,40,1.01
Darnah,northern,32.767,22.6367,80.8,59,0,13.51
Nanortalik,northern,60.1432,-45.2371,45.99,74,10,3.58
Port Elizabeth,southern,-33.918,25.5701,53.89,66,40,5.75
Bredasdorp,southern,-34.5322,20.0403,56.52,77,5,12.66
La Ronge,northern,55.1001,-105.2842,64.65,82,90,3.44
Taganak,northern,6.0833,118.3,78.1,77,13,9.13
Graaff-Reinet,southern,-32.2522,24.5308,56.91,39,0,7.67
Verāval,northern,20.9,70.3667,83.84,71,99,16.11
Qaanaaq,northern,77.484,-69.3632,39.78,76,77,1.23
San Quintín,northern,30.4833,-115.95,72.05,67,0,17.9
Lagoa,northern,39.05,-27.9833,67.33,77,96,9.33
Sitka,northern,57.0531,-135.33,57.09,94,90,0
Salekhard,northern,66.53,66.6019,51.08,56,98,12.06
Takoradze,northern,4.8845,-1.7554,75.54,90,80,7.49
Montebelluna,northern,45.778,12.0487,72.1,67,20,5.75
Jamestown,northern,42.097,-79.2353,78.94,56,40,7
New Norfolk,southern,-42.7826,147.0587,42.89,87,95,2.62
Puerto Ayora,southern,-0.7393,-90.3518,73.54,91,69,8.01
Albany,northern,42.6001,-73.9662,78.37,49,100,8.43
Dikson,northern,73.5069,80.5464,31.23,96,83,6.67
